Product,????????,????????????,????????????,First Quantity,????????????,Second Quantity,????????????,Value
12092500,??????????,502,????,17537968,????,0,?,"20,720,702"
12092910,??????????????????????,502,????,1108,????,0,?,"38,275"
12092990,????????????????,502,????,50,????,0,?,350
12093000,????????????????,502,????,15490,????,0,?,"8,177,544"
12099100,????????,502,????,476695,????,0,?,"17,873,036"
12099900,??????????????????????????,502,????,6933546,????,0,?,"26,874,934"
12101000,????????????????????????????,502,????,10,????,0,?,174
12102000,????????????????????????;??????,502,????,159270,????,0,?,"1,568,761"
12112010,??????,502,????,107941,????,0,?,"10,649,550"
12112099,??????????,502,????,70,????,0,?,"19,392"
12119039,??????????????????????????????????,502,????,222,????,0,?,"28,603"
12119050,????????????????????????????,502,????,12308,????,0,?,"121,058"
12119099,????????????????????????????????????????,502,????,11483,????,0,?,"58,335"
12122110,????,502,????,5,????,0,?,143
12122141,??????,502,????,24,????,0,?,"1,120"
12122190,??????????????????????????????????,502,????,5,????,0,?,192
12129100,????,502,????,2104,????,0,?,"11,559"
12129912,??????,502,????,565,????,0,?,"6,926"
12129919,????;????????????????????????????????,502,????,20412,????,0,?,"24,567"
12129999,??????????????????,502,????,21507,????,0,?,"268,246"
12141000,????????????????,502,????,57169,????,0,?,"1,390,901"
12149000,??????????,502,????,1044675956,????,0,?,"412,911,874"
13012000,????????,502,????,544107,????,0,?,"2,341,786"
13019090,????????????????,502,????,149969,????,0,?,"661,096"
13021200,??????????????,502,????,627481,????,0,?,"1,088,583"
13021300,????????????????,502,????,82946,????,0,?,"1,403,562"
13021940,??????????????,502,????,1,????,0,?,16
13021990,??????????????????,502,????,443765,????,0,?,"7,871,580"
13022000,????????????????????????,502,????,2150,????,0,?,"31,520"
13023100,????,502,????,690,????,0,?,"80,874"
13023200,??????????????????????????????????????????????????????????,502,????,736320,????,0,?,"4,899,692"
13023911,??????,502,????,644466,????,0,?,"9,760,398"
13023919,??????????????????????????????????????,502,????,25272,????,0,?,"354,603"
13023990,??????????????????????????????,502,????,1441,????,0,?,"176,326"
14042000,??????,502,????,12653318,????,0,?,"7,459,841"
14049090,????????????????????????,502,????,118102,????,0,?,"203,039"
15030000,??????????????????????????????????????????????????????????????????????????,502,????,3347,????,0,?,"11,004"
15041000,????????????????,502,????,20572,????,0,?,"1,295,677"
15042000,????????????????????????????????,502,????,215905,????,0,?,"7,686,932"
15043000,??????????????????????????????,502,????,22,????,0,?,"1,928"
15060000,??????????????????????????????????????????????????????,502,????,81,????,0,?,"16,524"
